project_id,metric_name,value,unit,year,baseline_available,monitoring_method,confidence_score
WWF-NBS-001,conflict_incidents_reduced,1.0,count/year,2024,no,incident_tracking,0.4
WWF-NBS-001,conflict_incidents_reduced,1.0,count/year,2025,no,incident_tracking,0.46
WWF-NBS-001,conflict_incidents_reduced,1.0,count/year,2026,no,incident_tracking,0.42
WWF-NBS-001,governance_score_improvement,3.84,score_points,2024,no,survey_assessment,0.39
WWF-NBS-001,governance_score_improvement,4.24,score_points,2025,no,survey_assessment,0.36
WWF-NBS-001,governance_score_improvement,4.23,score_points,2026,no,survey_assessment,0.59
WWF-NBS-001,stakeholders_engaged,37.0,count,2024,no,program_reporting,0.44
WWF-NBS-001,stakeholders_engaged,42.0,count,2025,no,program_reporting,0.4
WWF-NBS-001,stakeholders_engaged,41.0,count,2026,no,program_reporting,0.48
WWF-NBS-002,hectares_under_practice,7519.09,ha,2024,yes,farm_audits+remote_sensing,0.69
WWF-NBS-002,hectares_under_practice,7093.38,ha,2025,yes,farm_audits+remote_sensing,0.78
WWF-NBS-002,hectares_under_practice,7835.1,ha,2026,yes,farm_audits+remote_sensing,0.73
WWF-NBS-002,soil_carbon_increase_tons,5872.2,t/year,2024,no,soil_sampling+modeling,0.55
WWF-NBS-002,soil_carbon_increase_tons,5600.51,t/year,2025,no,soil_sampling+modeling,0.65
WWF-NBS-002,soil_carbon_increase_tons,5980.74,t/year,2026,no,soil_sampling+modeling,0.55
WWF-NBS-002,water_use_efficiency_gain,7.51,percent,2024,yes,farm_records+modeling,0.7
WWF-NBS-002,water_use_efficiency_gain,8.11,percent,2025,yes,farm_records+modeling,0.65
WWF-NBS-002,water_use_efficiency_gain,8.75,percent,2026,yes,farm_records+modeling,0.6
WWF-NBS-003,biodiversity_index_change,0.14,index_points,2024,no,biodiversity_surveys,0.5
WWF-NBS-003,biodiversity_index_change,0.14,index_points,2025,no,biodiversity_surveys,0.42
WWF-NBS-003,biodiversity_index_change,0.15,index_points,2026,no,biodiversity_surveys,0.42
WWF-NBS-003,hectares_restored,1054.18,ha,2024,yes,remote_sensing+field_surveys,0.45
WWF-NBS-003,hectares_restored,1147.02,ha,2025,yes,remote_sensing+field_surveys,0.55
WWF-NBS-003,hectares_restored,1102.07,ha,2026,yes,remote_sensing+field_surveys,0.5
WWF-NBS-003,kg_nitrogen_reduced,174689.17,kg/year,2024,no,water_quality_sampling,0.56
WWF-NBS-003,kg_nitrogen_reduced,171467.35,kg/year,2025,no,water_quality_sampling,0.44
WWF-NBS-003,kg_nitrogen_reduced,185373.03,kg/year,2026,no,water_quality_sampling,0.52
WWF-NBS-004,runoff_reduction_percent,17.45,percent,2024,yes,hydrology_modeling,0.61
WWF-NBS-004,runoff_reduction_percent,18.43,percent,2025,yes,hydrology_modeling,0.59
WWF-NBS-004,runoff_reduction_percent,18.93,percent,2026,yes,hydrology_modeling,0.78
WWF-NBS-004,sediment_tons_avoided,1480.94,t/year,2024,yes,erosion_modeling+field_checks,0.56
WWF-NBS-004,sediment_tons_avoided,1374.44,t/year,2025,yes,erosion_modeling+field_checks,0.68
WWF-NBS-004,sediment_tons_avoided,1616.36,t/year,2026,yes,erosion_modeling+field_checks,0.78
WWF-NBS-004,soil_health_score_change,4.08,score_points,2024,no,soil_sampling,0.58
WWF-NBS-004,soil_health_score_change,4.24,score_points,2025,no,soil_sampling,0.69
WWF-NBS-004,soil_health_score_change,4.36,score_points,2026,no,soil_sampling,0.74
WWF-NBS-005,compliance_rate_percent,4.02,percent,2024,yes,audit_reporting,0.83
WWF-NBS-005,compliance_rate_percent,4.16,percent,2025,yes,audit_reporting,0.77
WWF-NBS-005,compliance_rate_percent,4.56,percent,2026,yes,audit_reporting,0.82
WWF-NBS-005,conflict_incidents_reduced,4.0,count/year,2024,no,incident_tracking,0.75
WWF-NBS-005,conflict_incidents_reduced,4.0,count/year,2025,no,incident_tracking,0.78
WWF-NBS-005,conflict_incidents_reduced,4.0,count/year,2026,no,incident_tracking,0.86
WWF-NBS-005,governance_score_improvement,3.98,score_points,2024,no,survey_assessment,0.8
WWF-NBS-005,governance_score_improvement,3.86,score_points,2025,no,survey_assessment,0.86
WWF-NBS-005,governance_score_improvement,3.99,score_points,2026,no,survey_assessment,0.83
WWF-NBS-006,compliance_rate_percent,9.1,percent,2024,no,audit_reporting,0.81
WWF-NBS-006,compliance_rate_percent,10.35,percent,2025,no,audit_reporting,0.76
WWF-NBS-006,compliance_rate_percent,12.04,percent,2026,no,audit_reporting,0.81
WWF-NBS-006,conflict_incidents_reduced,1.0,count/year,2024,no,incident_tracking,0.85
WWF-NBS-006,conflict_incidents_reduced,1.0,count/year,2025,no,incident_tracking,0.8
WWF-NBS-006,conflict_incidents_reduced,1.0,count/year,2026,no,incident_tracking,0.9
WWF-NBS-006,stakeholders_engaged,71.0,count,2024,no,program_reporting,0.86
WWF-NBS-006,stakeholders_engaged,65.0,count,2025,no,program_reporting,0.76
WWF-NBS-006,stakeholders_engaged,69.0,count,2026,no,program_reporting,0.87
WWF-NBS-007,biodiversity_index_change,0.05,index_points,2024,yes,biodiversity_surveys,0.44
WWF-NBS-007,biodiversity_index_change,0.05,index_points,2025,yes,biodiversity_surveys,0.57
WWF-NBS-007,biodiversity_index_change,0.05,index_points,2026,yes,biodiversity_surveys,0.54
WWF-NBS-007,hectares_restored,2574.33,ha,2024,yes,remote_sensing+field_surveys,0.39
WWF-NBS-007,hectares_restored,2720.57,ha,2025,yes,remote_sensing+field_surveys,0.58
WWF-NBS-007,hectares_restored,3190.83,ha,2026,yes,remote_sensing+field_surveys,0.38
WWF-NBS-007,kg_nitrogen_reduced,342167.83,kg/year,2024,yes,water_quality_sampling,0.51
WWF-NBS-007,kg_nitrogen_reduced,350164.96,kg/year,2025,yes,water_quality_sampling,0.48
WWF-NBS-007,kg_nitrogen_reduced,383042.5,kg/year,2026,yes,water_quality_sampling,0.41
WWF-NBS-008,hectares_under_practice,2218.42,ha,2024,yes,farm_audits+remote_sensing,0.79
WWF-NBS-008,hectares_under_practice,2058.34,ha,2025,yes,farm_audits+remote_sensing,0.82
WWF-NBS-008,hectares_under_practice,2335.44,ha,2026,yes,farm_audits+remote_sensing,0.9
WWF-NBS-008,runoff_reduction_percent,14.34,percent,2024,no,hydrology_modeling,0.86
WWF-NBS-008,runoff_reduction_percent,14.07,percent,2025,no,hydrology_modeling,0.8
WWF-NBS-008,runoff_reduction_percent,14.24,percent,2026,no,hydrology_modeling,0.8
WWF-NBS-008,sediment_tons_avoided,9125.41,t/year,2024,yes,erosion_modeling+field_checks,0.75
WWF-NBS-008,sediment_tons_avoided,9238.07,t/year,2025,yes,erosion_modeling+field_checks,0.75
WWF-NBS-008,sediment_tons_avoided,9117.13,t/year,2026,yes,erosion_modeling+field_checks,0.78
WWF-NBS-009,biodiversity_index_change,0.06,index_points,2024,no,biodiversity_surveys,0.69
WWF-NBS-009,biodiversity_index_change,0.06,index_points,2025,no,biodiversity_surveys,0.57
WWF-NBS-009,biodiversity_index_change,0.06,index_points,2026,no,biodiversity_surveys,0.63
WWF-NBS-009,hectares_under_practice,9671.43,ha,2024,yes,farm_audits+remote_sensing,0.56
WWF-NBS-009,hectares_under_practice,9856.92,ha,2025,yes,farm_audits+remote_sensing,0.62
WWF-NBS-009,hectares_under_practice,10339.56,ha,2026,yes,farm_audits+remote_sensing,0.77
WWF-NBS-009,water_use_efficiency_gain,5.89,percent,2024,yes,farm_records+modeling,0.64
WWF-NBS-009,water_use_efficiency_gain,6.27,percent,2025,yes,farm_records+modeling,0.77
WWF-NBS-009,water_use_efficiency_gain,6.46,percent,2026,yes,farm_records+modeling,0.61
WWF-NBS-010,hectares_restored,4261.46,ha,2024,no,remote_sensing+field_surveys,0.77
WWF-NBS-010,hectares_restored,4905.59,ha,2025,no,remote_sensing+field_surveys,0.73
WWF-NBS-010,hectares_restored,5141.56,ha,2026,no,remote_sensing+field_surveys,0.64
WWF-NBS-010,kg_nitrogen_reduced,595174.94,kg/year,2024,yes,water_quality_sampling,0.78
WWF-NBS-010,kg_nitrogen_reduced,680892.93,kg/year,2025,yes,water_quality_sampling,0.57
WWF-NBS-010,kg_nitrogen_reduced,745909.17,kg/year,2026,yes,water_quality_sampling,0.7
WWF-NBS-010,sediment_tons_avoided,24360.35,t/year,2024,yes,turbidity_sampling+modeling,0.77
WWF-NBS-010,sediment_tons_avoided,24729.79,t/year,2025,yes,turbidity_sampling+modeling,0.68
WWF-NBS-010,sediment_tons_avoided,26768.48,t/year,2026,yes,turbidity_sampling+modeling,0.75
WWF-NBS-011,runoff_reduction_percent,12.16,percent,2024,no,hydrology_modeling,0.43
WWF-NBS-011,runoff_reduction_percent,13.58,percent,2025,no,hydrology_modeling,0.59
WWF-NBS-011,runoff_reduction_percent,15.05,percent,2026,no,hydrology_modeling,0.46
WWF-NBS-011,sediment_tons_avoided,7796.56,t/year,2024,no,erosion_modeling+field_checks,0.52
WWF-NBS-011,sediment_tons_avoided,8621.58,t/year,2025,no,erosion_modeling+field_checks,0.46
WWF-NBS-011,sediment_tons_avoided,8782.6,t/year,2026,no,erosion_modeling+field_checks,0.54
WWF-NBS-011,soil_health_score_change,1.65,score_points,2024,yes,soil_sampling,0.52
WWF-NBS-011,soil_health_score_change,1.49,score_points,2025,yes,soil_sampling,0.6
WWF-NBS-011,soil_health_score_change,1.59,score_points,2026,yes,soil_sampling,0.56
WWF-NBS-012,biodiversity_index_change,0.06,index_points,2024,no,biodiversity_surveys,0.79
WWF-NBS-012,biodiversity_index_change,0.06,index_points,2025,no,biodiversity_surveys,0.7
WWF-NBS-012,biodiversity_index_change,0.07,index_points,2026,no,biodiversity_surveys,0.65
WWF-NBS-012,hectares_restored,341.05,ha,2024,yes,remote_sensing+field_surveys,0.55
WWF-NBS-012,hectares_restored,363.34,ha,2025,yes,remote_sensing+field_surveys,0.57
WWF-NBS-012,hectares_restored,417.59,ha,2026,yes,remote_sensing+field_surveys,0.67
WWF-NBS-012,sediment_tons_avoided,1096.75,t/year,2024,no,turbidity_sampling+modeling,0.65
WWF-NBS-012,sediment_tons_avoided,1075.02,t/year,2025,no,turbidity_sampling+modeling,0.61
WWF-NBS-012,sediment_tons_avoided,1117.3,t/year,2026,no,turbidity_sampling+modeling,0.69
WWF-NBS-013,conflict_incidents_reduced,6.0,count/year,2024,no,incident_tracking,0.71
WWF-NBS-013,conflict_incidents_reduced,6.0,count/year,2025,no,incident_tracking,0.71
WWF-NBS-013,conflict_incidents_reduced,6.0,count/year,2026,no,incident_tracking,0.68
WWF-NBS-013,governance_score_improvement,4.13,score_points,2024,no,survey_assessment,0.57
WWF-NBS-013,governance_score_improvement,4.16,score_points,2025,no,survey_assessment,0.7
WWF-NBS-013,governance_score_improvement,4.37,score_points,2026,no,survey_assessment,0.79
WWF-NBS-013,stakeholders_engaged,64.0,count,2024,no,program_reporting,0.66
WWF-NBS-013,stakeholders_engaged,73.0,count,2025,no,program_reporting,0.65
WWF-NBS-013,stakeholders_engaged,74.0,count,2026,no,program_reporting,0.79
WWF-NBS-014,biodiversity_index_change,0.02,index_points,2024,no,biodiversity_surveys,0.85
WWF-NBS-014,biodiversity_index_change,0.02,index_points,2025,no,biodiversity_surveys,0.94
WWF-NBS-014,biodiversity_index_change,0.03,index_points,2026,no,biodiversity_surveys,0.76
WWF-NBS-014,hectares_under_practice,5327.74,ha,2024,yes,farm_audits+remote_sensing,0.76
WWF-NBS-014,hectares_under_practice,5459.11,ha,2025,yes,farm_audits+remote_sensing,0.88
WWF-NBS-014,hectares_under_practice,6486.32,ha,2026,yes,farm_audits+remote_sensing,0.83
WWF-NBS-014,water_use_efficiency_gain,6.28,percent,2024,yes,farm_records+modeling,0.83
WWF-NBS-014,water_use_efficiency_gain,6.97,percent,2025,yes,farm_records+modeling,0.9
WWF-NBS-014,water_use_efficiency_gain,7.18,percent,2026,yes,farm_records+modeling,0.78
WWF-NBS-015,runoff_reduction_percent,15.81,percent,2024,yes,hydrology_modeling,0.74
WWF-NBS-015,runoff_reduction_percent,18.04,percent,2025,yes,hydrology_modeling,0.57
WWF-NBS-015,runoff_reduction_percent,18.74,percent,2026,yes,hydrology_modeling,0.67
WWF-NBS-015,sediment_tons_avoided,12616.86,t/year,2024,yes,erosion_modeling+field_checks,0.79
WWF-NBS-015,sediment_tons_avoided,13602.14,t/year,2025,yes,erosion_modeling+field_checks,0.71
WWF-NBS-015,sediment_tons_avoided,14475.43,t/year,2026,yes,erosion_modeling+field_checks,0.66
WWF-NBS-015,soil_health_score_change,6.34,score_points,2024,yes,soil_sampling,0.74
WWF-NBS-015,soil_health_score_change,7.18,score_points,2025,yes,soil_sampling,0.63
WWF-NBS-015,soil_health_score_change,7.01,score_points,2026,yes,soil_sampling,0.77
WWF-NBS-016,habitat_index_change,0.12,index_points,2024,yes,habitat_assessment,0.73
WWF-NBS-016,habitat_index_change,0.12,index_points,2025,yes,habitat_assessment,0.76
WWF-NBS-016,habitat_index_change,0.12,index_points,2026,yes,habitat_assessment,0.66
WWF-NBS-016,hectares_restored,94.83,ha,2024,yes,remote_sensing+field_surveys,0.59
WWF-NBS-016,hectares_restored,91.9,ha,2025,yes,remote_sensing+field_surveys,0.7
WWF-NBS-016,hectares_restored,104.04,ha,2026,yes,remote_sensing+field_surveys,0.77
WWF-NBS-016,kg_nitrogen_reduced,11882.63,kg/year,2024,no,water_quality_sampling,0.7
WWF-NBS-016,kg_nitrogen_reduced,13302.11,kg/year,2025,no,water_quality_sampling,0.67
WWF-NBS-016,kg_nitrogen_reduced,12336.33,kg/year,2026,no,water_quality_sampling,0.64
WWF-NBS-017,habitat_index_change,0.11,index_points,2024,no,habitat_assessment,0.76
WWF-NBS-017,habitat_index_change,0.12,index_points,2025,no,habitat_assessment,0.85
WWF-NBS-017,habitat_index_change,0.12,index_points,2026,no,habitat_assessment,0.88
WWF-NBS-017,hectares_restored,2163.86,ha,2024,no,remote_sensing+field_surveys,0.75
WWF-NBS-017,hectares_restored,2288.34,ha,2025,no,remote_sensing+field_surveys,0.77
WWF-NBS-017,hectares_restored,2454.36,ha,2026,no,remote_sensing+field_surveys,0.77
WWF-NBS-017,kg_nitrogen_reduced,370458.21,kg/year,2024,yes,water_quality_sampling,0.94
WWF-NBS-017,kg_nitrogen_reduced,331986.15,kg/year,2025,yes,water_quality_sampling,0.92
WWF-NBS-017,kg_nitrogen_reduced,355930.68,kg/year,2026,yes,water_quality_sampling,0.79
WWF-NBS-018,hectares_restored,6050.59,ha,2024,yes,remote_sensing+field_surveys,0.41
WWF-NBS-018,hectares_restored,5596.77,ha,2025,yes,remote_sensing+field_surveys,0.41
WWF-NBS-018,hectares_restored,5648.7,ha,2026,yes,remote_sensing+field_surveys,0.46
WWF-NBS-018,species_richness_change,5.71,percent,2024,no,biodiversity_surveys,0.53
WWF-NBS-018,species_richness_change,5.48,percent,2025,no,biodiversity_surveys,0.38
WWF-NBS-018,species_richness_change,5.56,percent,2026,no,biodiversity_surveys,0.43
WWF-NBS-018,tco2e_sequestered,23916.75,tCO2e/year,2024,yes,carbon_modeling+remote_sensing,0.5
WWF-NBS-018,tco2e_sequestered,26163.52,tCO2e/year,2025,yes,carbon_modeling+remote_sensing,0.37
WWF-NBS-018,tco2e_sequestered,27510.58,tCO2e/year,2026,yes,carbon_modeling+remote_sensing,0.59
WWF-NBS-019,hectares_restored,400.14,ha,2024,no,remote_sensing+field_surveys,0.74
WWF-NBS-019,hectares_restored,376.72,ha,2025,no,remote_sensing+field_surveys,0.6
WWF-NBS-019,hectares_restored,406.18,ha,2026,no,remote_sensing+field_surveys,0.61
WWF-NBS-019,m3_water_recharged,407872.03,m3/year,2024,no,hydrology_modeling+gauges,0.65
WWF-NBS-019,m3_water_recharged,417934.92,m3/year,2025,no,hydrology_modeling+gauges,0.8
WWF-NBS-019,m3_water_recharged,469684.09,m3/year,2026,no,hydrology_modeling+gauges,0.64
WWF-NBS-019,species_richness_change,11.25,percent,2024,no,biodiversity_surveys,0.69
WWF-NBS-019,species_richness_change,12.05,percent,2025,no,biodiversity_surveys,0.68
WWF-NBS-019,species_richness_change,12.08,percent,2026,no,biodiversity_surveys,0.74
WWF-NBS-020,biodiversity_index_change,0.2,index_points,2024,no,biodiversity_surveys,0.79
WWF-NBS-020,biodiversity_index_change,0.21,index_points,2025,no,biodiversity_surveys,0.83
WWF-NBS-020,biodiversity_index_change,0.19,index_points,2026,no,biodiversity_surveys,0.84
WWF-NBS-020,kg_nitrogen_reduced,323015.17,kg/year,2024,yes,water_quality_sampling,0.86
WWF-NBS-020,kg_nitrogen_reduced,313667.22,kg/year,2025,yes,water_quality_sampling,0.78
WWF-NBS-020,kg_nitrogen_reduced,345860.23,kg/year,2026,yes,water_quality_sampling,0.76
WWF-NBS-020,sediment_tons_avoided,8864.56,t/year,2024,yes,turbidity_sampling+modeling,0.82
WWF-NBS-020,sediment_tons_avoided,8701.69,t/year,2025,yes,turbidity_sampling+modeling,0.85
WWF-NBS-020,sediment_tons_avoided,8556.03,t/year,2026,yes,turbidity_sampling+modeling,0.9
